Locomotive_ID,Sold_Amount,Wango_ID,Sold_Amount_With_Locomotive
4990,377,4891,91
4990,377,4432,65
4503,372,4803,75
4503,372,4726,48
4503,372,5153,35
554,369,555,138
554,369,556,115
554,369,282,93
1399,367,1378,71
1399,367,4632,48
1399,367,1377,45
2127,365,3380,117
2127,365,4632,102
2127,365,3329,74
4460,358,4456,333
4460,358,4459,329
4460,358,4461,159
1915,357,1913,264
1915,357,3380,126
1915,357,4632,56
4473,357,4477,32
4473,357,4472,21
4473,357,4478,20
4002,356,3338,36
4002,356,178,19
4002,356,1039,18
3825,350,3330,42
3825,350,3329,35
3825,350,3381,33
2173,350,2703,45
2173,350,3381,37
2173,350,4009,31
5491,349,3380,190
5491,349,4632,118
5491,349,5521,68
429,348,2241,163
429,348,4891,73
429,348,4432,66
829,347,826,55
829,347,824,45
829,347,873,42
602,343,312,86
602,343,594,68
602,343,600,62
473,341,1756,179
473,341,1475,72
473,341,1852,50
1546,340,3329,11
1546,340,4583,10
1546,340,3380,10
2846,340,3380,77
2846,340,3329,72
2846,340,4632,53
920,339,974,149
920,339,2849,26
920,339,1744,26
4355,338,2241,61
4355,338,4891,48
4355,338,4354,46
1408,337,2241,104
1408,337,4432,52
1408,337,1362,50
1803,336,3380,125
1803,336,3329,54
1803,336,3378,54
4892,333,4912,76
4892,333,3380,61
4892,333,3378,56
5165,332,4432,129
5165,332,5162,111
5165,332,5163,67
558,329,282,99
558,329,557,89
558,329,555,79
4584,328,4581,59
4584,328,4583,37
4584,328,585,10
4953,327,2241,186
4953,327,4891,78
4953,327,4432,68
1188,322,3381,40
1188,322,3378,25
1188,322,3383,20
546,322,284,52
546,322,1565,45
546,322,547,43
4634,319,4601,43
4634,319,4602,31
4634,319,4577,26
4910,318,4911,32
4910,318,4913,30
4910,318,4473,30
4570,316,4571,165
4570,316,4569,165
4570,316,5162,48
3905,314,4802,47
3905,314,5335,15
3905,314,1168,15
2849,314,974,62
2849,314,2850,54
2849,314,2466,22
1592,311,1591,129
1592,311,1593,89
1592,311,4554,69
3665,309,555,56
3665,309,554,45
3665,309,282,45
1565,308,541,39
1565,308,585,28
1565,308,586,27
1676,307,4632,91
1676,307,3380,72
1676,307,1377,65
2791,307,2795,62
